Event ID,Event Name,Defender Event,Table Name,ISO 27002?,Source,Security Value
4793, The Password Policy Checking API was called,Not captured,-,No,,Low
4794, An attempt was made to set the Directory Services Restore Mode administrator password,Not captured,-,Yes,Azure Monitor,High
4798, A user's local group membership was enumerated,Not captured,-,No,,Low
4799,A security-enabled local group membership was enumerated,Not captured,-,No,,Low
4800, The workstation was locked,Not captured,-,No,,Low
4801, The workstation was unlocked,Not captured,-,No,,Low
4802, The screen saver was invoked,Not captured,-,No,,Low
4803, The screen saver was dismissed,Not captured,-,No,,Low
4825, ?,,,,,
4826, Boot Configuration Data loaded,Not captured,-,No,,Low
4870, Certificate Services revoked a certificate,Not captured,-,No,,Low
4886, Certificate Services received a certificate request,Not captured,-,No,Azure Monitor,Medium
4887, Certificate Services approved a certificate request and issued a certificate,Not captured,-,No,Azure Monitor,Medium
4888, Certificate Services denied a certificate request,Not captured,-,No,Azure Monitor,Medium
4893, Certificate Services archived a key.,Not captured,-,No,,Low
4898, Certificate Services loaded a template,Not captured,-,No,,Low
4902,The Per-user audit policy table was created,Not captured,-,Yes,Azure Monitor,Low
4904, An attempt was made to register a security event source,Not captured,-,Yes,Azure Monitor,Low
4905, An attempt was made to unregister a security event source,Not captured,-,Yes,Azure Monitor,Low
4907, Auditing settings on object were changed,Not captured,-,Yes,Azure Monitor,High
4931, An Active Directory replica destination naming context was modified,Not captured,-,Yes,Azure Monitor,Low
4932, Synchronization of a replica of an Active Directory naming context has begun,Directory Services replication,IdentityDirectoryEvents,No,Defender,Low
4933, Synchronization of a replica of an Active Directory naming context has ended,Directory Services replication,IdentityDirectoryEvents,No,Defender,Low
4946, A change has been made to Windows Firewall exception list. A rule was added,Not captured,-,Yes,Azure Monitor,Low
4947, A change has been made to Windows Firewall exception list. A rule was modified,Not captured,-,Yes,Azure Monitor,Low
4948, A change has been made to Windows Firewall exception list. A rule was deleted,Not captured,-,Yes,Azure Monitor,Low
4949, Windows Firewall settings were restored to the default values,Not captured,-,Yes,Azure Monitor,Low
4956, Windows Firewall has changed the active profile,Not captured,-,Yes,Azure Monitor,Low
4985, The state of a transaction has changed,Not captured,-,No,,Low
5024, The Windows Firewall Service has started successfully,Not captured,-,Yes,Azure Monitor,Low
5033, The Windows Firewall Driver has started successfully,Not captured,-,Yes,Azure Monitor,Low
5059, Key migration operation,Not captured,-,No,,Low
5136, A directory service object was modified,Not Captured,-,Yes,Azure Monitor,High
5137, A directory service object was created,Not Captured,-,Yes,Azure Monitor,High
5138, A directory service object was undeleted,Not captured,-,Yes,Azure Monitor,High
5139, A directory service object was moved,Not captured,-,Yes,Azure Monitor,High
5140, A network share object was accessed,Not captured,-,No,,Low
5141, A directory service object was deleted,Not captured,-,Yes,Azure Monitor,High
5142, A network share object was added,NetworkShareObjectAdded,DeviceEvents,Yes,Defender,Medium
5143, A network share object was modified,NetworkShareObjectModified,DeviceEvents,Yes,Defender,Medium
5144, A network share object was deleted,NetworkShareObjectDeleted,DeviceEvents,Yes,Defender,Medium
5145, A network share object was checked to see whether client can be granted desired access,NetworkShareObjectAccessChecked,DeviceEvents,No,Defender,Low
5632, A request was made to authenticate to a wireless network,Not captured,-,Yes,Azure Monitor,Low
5633, A request was made to authenticate to a wired network,Not captured,-,Yes,Azure Monitor,Low
6144, Security policy in the group policy objects has been applied successfully,Not captured,-,Yes,Azure Monitor,Low
6145, One or more errors occurred while processing security policy in the group policy objects,Not captured,-,No,,Low
6272, Network Policy Server granted access to a user,Not captured,-,Yes,Azure Monitor,High
6273, Network Policy Server denied access to a user,Not captured,-,Yes,Azure Monitor,High
6278, Network Policy Server granted full access to a user because the host met the defined health policy,Not captured,-,Yes,Azure Monitor,High
6416, A new external device was recognized by the System,PnpDeviceConnected,DeviceEvents,No,Defender,Low
,,UsbDriveMounted,,,,
,,UsbDriveMount,,,,
6423, The installation of this device is forbidden by system policy,PnpDeviceBlocked,DeviceEvents,No,Defender,Low
6424," The installation of this device was allowed, after having previously been forbidden by policy",Not captured,-,No,,Low
8001, NTLM client blocked audit: Audit outgoing NTLM authentication traffic that would be blocked,Not captured,-,No,,Low
8002, NTLM server blocked audit: Audit Incoming NTLM Traffic that would be blocked,Not captured,-,No,,Low
8003, NTLM server blocked in the domain audit: Audit NTLM authentication in this domain,Not captured,-,No,,Low
8004, Domain Controller Blocked Audit: Audit NTLM authentication to this domain controller,Not captured,-,No,,Low
8222, Shadow copy has been created,Not captured,-,No,,Low
26401, ?,,,,,
30004, ?,,,,,
